code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
MAG-715018,Con Quay Thông Minh Magformers,"490,000",29,5,6,6,4,,,1,,,,7,,
MAG-715019,Bộ thử thách 14 mảnh,"690,000",89,12,6,10,2,,6,,48,,,5,,
MAG-715020,Bộ thử thách 30 mảnh,"1,290,000",96,4,9,9,4,,6,,54,,,10,,
MAG-717002,Bộ Cảnh sát siêu đẳng 50 mảnh,"1,499,000",2,,1,,,,,,,,,,1,
MAG-717010,Bộ Xe buýt thành phố 16 mảnh,"990,000",11,2,2,4,3,,,,,,,,,
MAG-799016,Bộ hình học 20 mảnh,"990,000",3,,,3,,,,,,,,,,
MAG-799017,Bộ hình học 33 mảnh,"1,390,000",5,,,5,,,,,,,,,,
STI-901001,Bộ cơ bản 10 mảnh,"349,000",1,,,1,,,,,,,,,,
STI-902002,Bộ Những người bạn 16 mảnh,"590,000",1,,,,,,,,,,,,1,
STI-902003,Bộ Phương tiện giao thông 16 mảnh,"590,000",2,1,,1,,,,,,,,,,
STI-902005,Bộ Nhập vai 26 mảnh,"890,000",2,,,2,,,,,,,,,,
OP-30002.13,Ba lô hình ốc sên Oops,"499,000",2,1,,1,,,,,,,,,,
OP-30002.23,Ba lô hình rùa Oops,"499,000",2,1,,,,,,,,1,,,,
OP-30002.31,Ba lô hình con chuồn chuồn Oops.,"499,000",4,4,,,,,,,,,,,,
OP-30002.32,Ba lô hình chim Oops,"499,000",6,,,2,,,,,,4,,,,
OP-30002.35,Ba lô hình con ong Oops,"499,000",31,7,,3,,,,,20,1,,,,
OP-30009.22,Ba lô oval hình chú cún Oops,"499,000",5,1,,1,,,,,,3,,,,
OP-30009.24Z,Ba lô oval hình nhím Oops,"499,000",1,,,,,,,,,1,,,,
OP-30009.32,Ba lô oval hình chú chim Oops,"499,000",25,2,,1,,,,,,13,,8,,1
OP-30009.33,Ba lô oval hình bọ rùa Oops,"499,000",1,,,1,,,,,,,,,,
OP-30010.33,Túi xách Oval hình bọ rùa Oops,"349,000",41,4,,3,,,,,21,10,,3,,
OP-30014.14,Ba lô 3D hình chim công Oops,"399,000",1,,,1,,,,,,,,,,
OP-31006.20,Túi xách 3D hình chó mèo Oops,"299,000",29,,,5,,,5,,14,3,,2,,
OP-31006.32,Túi xách 3D hình chú chim Oops,"299,000",19,3,,1,1,,,,,9,,5,,
OP-31006.35,Túi xách 3D hình chú ong Oops,"299,000",1,1,,,,,,,,,,,,
